mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,spectral_centroid,zcr,spectral_entropy,aci,bioacoustic_index,label
-292.1373,-37.650944,15.113141,93.011475,-63.235645,41.939472,4.588604,28.238623,-17.159708,31.054195,-14.522044,11.351338,-13.104515,4900.918981530533,0.428172808512181,11.630611,0.4453967,182924.06,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-283.56326,84.24558,17.694208,-26.070007,23.100077,-14.699353,-11.418282,16.893314,-19.32599,17.725674,-16.811428,9.477779,-14.475315,4204.874407025192,0.33385295823665895,11.43024,0.4951028,74492.055,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-400.21216,142.79948,19.83751,2.1392295,14.985768,9.309175,-3.6013374,6.554307,3.6748273,7.339319,-11.112592,0.18427484,-2.8880448,1776.4241828791826,0.08281182025812064,11.3508625,0.47567454,5225.163,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-402.77545,84.60633,7.2356296,37.59528,-16.266697,25.608791,23.39587,1.5516227,14.793602,15.159826,6.6665955,8.361771,8.286911,2040.4809951361651,0.056598707584106726,11.008192,0.47634667,9785.147,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-460.42285,57.5121,66.52085,-46.482323,34.840504,15.015693,4.206645,10.838201,-2.911896,18.138144,-1.8338253,7.174868,3.3232288,5636.578312577271,0.3744550735933875,11.698193,0.4532851,5299.9585,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-245.24486,95.66776,-2.760528,21.881683,-3.9908128,20.819288,-8.875622,19.751253,-7.620252,19.016823,-6.955938,12.21106,-0.24249785,2517.732296821213,0.1287567067865429,11.486017,0.47295848,35926.016,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-311.41864,-264.4427,-86.84299,118.13687,20.101225,1.2770483,4.3115206,-13.704745,0.5256465,30.61504,13.000698,6.3363757,-20.3733,4466.017690914323,0.35213235027552203,11.438675,0.4599272,899420.9,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-145.8949,89.70954,9.813302,-0.91550046,5.370567,9.680417,7.191789,11.779712,3.3664732,8.495979,1.3886788,5.744322,0.16456027,2817.4861302423733,0.13549974622969838,11.699363,0.4634444,78920.47,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-199.97052,69.50196,44.598568,62.014347,-29.353434,31.998108,15.367267,8.848474,-6.544208,21.446804,-4.339838,8.850357,-7.01824,2756.506821340931,0.11540997498549883,11.1883335,0.45639083,102135.99,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-290.24548,-35.779884,59.597954,-41.069942,25.052557,28.938564,6.345148,20.247578,14.756354,12.408105,7.052423,14.711167,-2.2998097,7497.870350694857,0.693951883338167,11.698673,0.45670897,88120.59,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-283.0625,-127.487305,30.9066,53.971436,33.285374,13.539665,11.178112,18.874826,8.263686,30.753323,-10.359809,24.447216,3.2204313,6845.184073688513,0.636960968257874,11.64332,0.45094943,206623.78,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-163.03818,-34.873184,63.432114,17.526442,-30.839672,-12.429923,29.037474,5.6914763,-6.6891,10.077048,4.052889,6.7746744,-7.9572845,6507.133874963036,0.5995855840342227,11.982965,0.46575522,290746.9,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-70.96544,1.1948423,-2.3187788,5.7190714,-1.5081122,-14.963827,20.172047,4.157852,-0.06842395,28.396448,-22.40417,21.885532,11.500519,4763.760373848402,0.35374787014211134,11.820271,0.4541543,626166.44,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-294.04468,-32.489292,83.15554,33.50394,28.766317,27.402426,50.28545,11.597706,11.159016,18.216066,-4.8995314,4.909603,-1.7755648,6503.488064239982,0.47711966105015674,11.383299,0.41822794,47322.473,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-279.5392,19.607626,59.723465,25.898106,9.523481,15.289156,24.99848,8.188396,4.7922015,21.350082,1.2376158,9.104972,6.118834,4420.878273761476,0.18858961283866996,10.605698,0.46534348,20273.188,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-75.96552,88.38977,66.564186,6.0595956,32.759174,10.29416,10.952438,11.277365,0.4589126,13.145903,-4.9770546,9.938984,1.0301684,2678.784793223178,0.057380208333333335,11.33765,0.52097267,296119.03,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-286.1519,13.733774,104.813965,-13.630718,49.41195,17.564613,17.821865,25.811123,3.7309828,25.838745,5.1699824,12.349754,7.6610327,5654.069500888274,0.26112396445050334,10.751774,0.4829033,46058.594,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-324.9667,121.42403,26.518026,5.922073,21.607513,16.255281,16.1386,22.793396,0.25108427,14.223744,-2.4697847,11.198054,-2.257225,1978.2624171443792,0.06939187064628483,10.517136,0.47183245,10841.4795,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
-447.13885,119.68402,70.08234,5.87783,28.519468,15.673112,13.047158,17.609802,2.8836174,15.377928,-0.36538842,8.43696,1.8640003,2056.3634700927328,0.0863181554524362,10.802777,0.50049603,7708.039,00050_Animalia_Arthropoda_Insecta_Hemiptera_Cicadidae_Aleeta_curvicosta
