mfcc0,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,spectral_centroid,zcr,spectral_entropy,aci,bioacoustic_index,label
-460.37006,110.960686,-1.0357134,1.8400031,-2.0135524,4.6831975,0.487021,4.5692277,-0.38880095,2.1153235,-3.5463588,2.4968522,0.7013522,2102.6253183544914,0.10234239366319445,11.16358,0.72533834,7745.23,Axe
-445.11285,96.958984,-14.046995,6.961877,-11.2559185,-9.084963,-2.4588058,3.5299444,-8.070388,1.6411065,-3.4328501,-1.3594824,-2.2188895,2434.9601268495685,0.12696894892939814,11.173429,0.6958105,7063.8223,Axe
-578.5134,55.14737,17.534294,6.8766575,8.252394,7.855636,4.224294,1.9730445,1.5655068,2.2836812,2.6855695,2.2517672,1.8203795,1723.3562697961866,0.05875424985532408,9.551144,0.7128512,532.64105,Axe
-560.14014,53.18042,19.798641,12.080736,10.878725,7.8430905,4.031316,2.297498,0.73715717,0.66644937,1.5781083,1.6561116,0.5179685,1828.728234978058,0.05921992549189815,9.519232,0.6900349,794.9632,Axe
-562.0907,48.71347,18.918106,10.857723,7.416695,4.3694744,2.0617356,2.638592,2.2082708,1.7690523,1.6071585,0.62271017,-0.5023113,1993.6228417797206,0.07300256799768519,9.71346,0.74677217,1081.7919,Axe
-433.22815,152.86133,-10.525514,31.828186,6.0175285,-11.186931,-1.9650198,10.593605,5.849328,4.9975896,6.835091,8.9233675,-0.8211583,1273.827039018105,0.054942943431712965,10.492033,0.5624217,4219.537,Axe
-431.58835,141.84943,-16.556099,25.57335,5.364944,-6.740741,3.6583464,11.740254,2.4902651,0.36486238,5.1271033,9.789746,3.6813502,1431.6508404399694,0.06500244140625,10.451154,0.64595854,5878.8545,Axe
-513.3814,50.29218,8.554045,3.1973448,-1.084177,2.1622112,-5.6161647,-11.175715,-10.755696,-5.6242685,-6.7779574,-3.2804933,-6.8895755,3057.7611414791413,0.13844807942708334,10.830963,0.8362776,9817.981,Axe
-533.58154,41.81989,2.2296715,16.666239,-7.5689187,1.6127764,-11.690344,-12.32928,-8.926049,-4.467436,-9.774688,-4.6130834,-10.570093,3711.227594388014,0.16833948206018517,11.33115,0.94002,21095.94,Axe
-510.86523,80.04496,36.744663,33.195404,17.293127,19.456688,6.290735,5.452451,1.9034714,2.9794257,2.9802601,2.64238,-2.0921006,1793.0335026708092,0.021864149305555556,11.230137,0.8089514,13676.921,Axe
-477.69022,68.56129,29.73699,33.104,16.208717,20.141985,4.2390347,3.0703568,3.1434207,6.921287,2.2291005,4.236672,0.040876575,2019.8191711877982,0.031534830729166664,11.283375,0.7826133,16517.967,Axe
-553.8945,26.839043,7.09549,5.4790616,5.7815614,7.7933826,7.295374,5.2428703,2.792102,5.7739887,7.038195,7.1119113,5.7501106,1371.972823630073,0.019110785590277776,10.361883,0.8658454,2686.434,Axe
-486.89105,62.61988,12.5577755,26.828148,15.408474,14.197596,7.169818,3.5012195,1.5794688,3.115083,-1.0931777,2.602643,-0.18531048,2828.295140955874,0.12180356626157407,10.1069975,0.77968436,3817.6497,Axe
-555.483,66.18656,12.368388,17.929207,8.839928,11.926197,3.6151958,3.9780855,-0.40178,2.2932072,1.5700738,1.4277155,-0.25039324,2114.52224015319,0.07197175202546297,10.6310215,0.5846321,4545.2275,Axe
-530.5489,58.596527,9.777397,15.697349,7.4975767,3.5149684,2.7879438,3.0977407,-1.0453696,5.7093654,-3.276653,5.487143,-3.0098116,3289.2632807057275,0.18490035445601852,10.768934,0.65525985,3287.9385,Axe
-574.29486,56.200798,15.740734,11.212737,7.4445224,4.2626,3.262764,4.0915337,2.7652388,5.8691916,2.2895155,3.5732327,0.016362403,2952.9928378799923,0.1297290943287037,10.989196,0.73586607,6069.3345,Axe
-551.54114,60.728134,10.6521,8.968454,5.503198,4.7900624,5.4103823,4.7909145,0.77531356,5.058264,0.8984538,6.2410235,-1.9521639,3150.5040664466887,0.15035445601851852,10.871033,0.69167894,3782.005,Axe
-593.05634,63.505985,1.2457601,1.7000916,11.880638,9.582635,4.149044,1.2543994,-2.415182,5.1215787,8.445601,7.0382285,-0.8844747,2759.169037495956,0.12201379846643519,10.793514,0.8640595,4065.564,Axe
-544.88354,67.5932,2.8662763,-0.6071591,4.730424,4.619657,1.4416817,2.1924317,-5.5394416,4.5660768,3.5352583,6.7582393,-0.8255542,3151.965090104739,0.16580991391782407,11.104067,0.7717272,5710.0386,Axe
-572.8852,62.94608,14.403872,5.269562,6.906495,4.35621,3.9971654,0.37069252,-1.5315958,8.139519,6.015975,7.0850215,5.1775117,2321.094796178393,0.07712583188657407,10.7159605,0.87613374,4837.031,Axe
-338.99142,66.74581,-6.2887607,7.3840456,-12.470077,12.277667,-1.693807,12.325439,14.445703,12.791636,-0.9677513,4.805854,-2.0401134,3118.0239618499636,0.1865867332175926,11.324792,0.6130594,24128.16,Axe
-413.75558,43.099808,6.612912,16.55798,-3.4481688,18.12806,5.9105163,17.097649,14.81784,12.701281,2.5585423,8.640833,-0.76962036,3519.576393922933,0.16502097800925927,11.36047,0.7264778,21387.002,Axe
-511.24478,92.515724,30.043173,11.874171,3.215117,12.008754,14.778292,16.930525,13.232815,10.347024,8.230686,7.2236905,5.587262,1568.028043974441,0.03908058449074074,10.1161175,0.7434953,2635.2136,Axe
-360.19196,51.47883,-8.545488,9.853475,1.2029908,1.9086219,-0.13740674,2.80334,-0.6071901,2.286068,2.119459,1.6136025,-0.20052451,2921.7315004796264,0.1638206199363426,10.824464,0.69023263,24010.305,Axe
-475.42093,42.812897,-19.779488,2.4060385,-5.492269,4.931481,-3.0652754,-2.1867995,-2.2779524,-1.9508178,-1.0417597,-1.4794462,-2.4204245,3412.388989957302,0.2144797996238426,10.803669,0.7726093,8374.16,Axe
-444.80737,46.73809,-21.986668,8.067756,-8.900859,-4.3917747,-9.631219,-3.4131079,-5.5671635,-3.8020618,-2.2022197,-2.0471704,-4.259498,3246.3807195330814,0.21528455946180555,10.72987,0.7710922,9345.221,Axe
-476.2703,34.08315,-16.351805,11.507182,-8.157764,0.92752147,-6.8031435,1.5965768,-4.925424,-2.5618246,-4.5982385,0.7128276,-0.85454327,3589.2721889503277,0.23419641565393517,10.809763,0.78652084,9481.007,Axe
-505.70526,42.504925,-11.637843,2.440181,-2.3887758,-0.16988553,-4.27357,1.7651281,-6.8810644,3.8852823,-4.392943,0.99347574,-3.6404316,3549.6562115527445,0.2462745949074074,10.447954,0.7901322,5382.9966,Axe
-620.95874,41.870213,10.5665245,26.237732,9.216491,11.353633,5.2908473,6.2044735,-3.596718,9.199579,2.9232666,4.975715,0.85821533,3613.9313318625855,0.19769739221643517,11.061866,0.86255354,2813.1782,Axe
-559.48914,11.034232,1.4827377,5.685916,2.8606348,2.3823638,2.4607053,2.373675,2.0737517,2.077463,1.0976,1.9606264,1.5184793,4174.308360449394,0.20232702184606483,10.746644,0.64075494,4981.3447,Axe
-600.7241,44.487556,10.867573,2.9080791,-3.6337433,1.5400487,0.32693172,0.46059036,2.9578412,4.138854,-1.4453433,5.7049084,0.38903376,4070.647097720464,0.29018373842592593,11.080835,0.6898912,3266.7388,Axe
-602.3538,39.324566,8.880149,6.3420863,-2.5846653,2.5862055,0.20956542,-1.9525274,4.0043125,2.9134302,-1.6121962,5.2073097,-0.921889,4159.545511696615,0.31870976200810186,11.213479,0.675272,5380.8403,Axe
-428.65002,107.395004,28.76672,17.62749,8.054473,4.3002405,6.1456122,8.036678,1.5605417,0.6913901,0.2495178,2.4536042,0.8327649,1259.076551514133,0.0768161349826389,10.427951,0.62278414,19532.1,Axe
